,Date,Buy/BuyMore/Sell,Price,Transaction Number,Transaction Value,Number of Shares
0,1990-08-06,Buy,35.91,1,3303.72,92.0
1,1990-08-15,Sell,23.31,1,2144.52,92.0
2,1990-08-22,Buy,30.55,2,3329.95,109.0
3,1990-11-20,Sell,20.09,2,2189.81,109.0
4,1991-01-08,Buy,30.38,3,3311.42,109.0
5,1991-02-15,Sell,19.57,3,2133.13,109.0
6,1997-10-27,Buy,31.12,4,3329.84,107.0
7,1998-02-06,Sell,20.51,4,2194.57,107.0
8,1998-08-04,Buy,31.06,5,3323.42,107.0
9,1998-08-31,Buy More,44.28,5,7345.65,195.0
10,1998-11-20,Sell,22.47,5,4381.65,195.0
11,1998-12-14,Buy,31.31,6,3318.86,106.0
12,1998-12-23,Sell,20.21,6,2142.26,106.0
13,1999-01-13,Buy,30.11,7,3312.1,110.0
14,1999-07-01,Sell,19.69,7,2165.9,110.0
15,2000-04-14,Buy,33.49,8,3315.51,99.0
16,2000-06-02,Sell,21.48,8,2126.52,99.0
17,2000-10-12,Buy,30.51,9,3325.59,109.0
18,2001-06-05,Sell,19.58,9,2134.22,109.0
19,2001-09-07,Buy,30.99,10,3315.93,107.0
20,2001-09-17,Buy More,41.76,10,7202.25,198.0
21,2001-11-23,Sell,23.25,10,4603.5,198.0
22,2002-07-09,Buy,30.22,11,3324.2,110.0
23,2002-07-22,Buy More,41.87,11,7281.09,202.0
24,2002-11-22,Sell,23.16,11,4678.32,202.0
25,2002-12-05,Buy,30.1,12,3311.0,110.0
26,2003-05-09,Sell,19.69,12,2165.9,110.0
27,2007-08-15,Buy,30.67,13,3312.36,108.0
28,2007-09-19,Sell,20.03,13,2163.24,108.0
29,2007-11-12,Buy,31.09,14,3326.63,107.0
30,2007-12-21,Sell,18.47,14,1976.29,107.0
31,2008-01-22,Buy,31.01,15,3318.07,107.0
32,2008-04-17,Sell,20.37,15,2179.59,107.0
33,2008-09-15,Buy,31.7,16,3328.5,105.0
34,2008-09-29,Buy More,46.72,16,7449.9,190.0
35,2008-10-06,Buy More,52.05,16,11568.34,266.0
36,2009-06-09,Sell,28.27,16,7519.82,266.0
37,2009-06-15,Buy,30.81,17,3327.48,108.0
38,2009-12-22,Sell,19.54,17,2110.32,108.0
39,2010-05-06,Buy,32.8,18,3312.8,101.0
40,2010-05-20,Buy More,45.79,18,7269.58,185.0
41,2010-06-15,Sell,25.87,18,4785.95,185.0
42,2010-06-29,Buy,34.13,19,3310.61,97.0
43,2010-08-02,Sell,22.01,19,2134.97,97.0
44,2011-08-04,Buy,31.66,20,3324.3,105.0
45,2011-08-08,Buy More,48.0,20,7488.04,188.0
46,2011-10-27,Sell,25.46,20,4786.48,188.0
47,2011-11-01,Buy,34.77,21,3303.15,95.0
48,2011-12-21,Sell,21.43,21,2035.85,95.0
49,2015-08-24,Buy,40.74,22,3299.94,81.0
50,2015-08-27,Sell,26.1,22,2114.1,81.0
51,2015-09-01,Buy,31.4,23,3328.4,106.0
52,2015-09-21,Sell,20.14,23,2134.84,106.0
53,2018-02-05,Buy,37.32,24,3321.48,89.0
54,2018-02-14,Sell,19.26,24,1714.14,89.0
55,2018-12-21,Buy,30.11,25,3312.1,110.0
56,2019-01-10,Sell,19.5,25,2145.0,110.0
57,2020-02-27,Buy,39.16,26,3328.6,85.0
58,2020-03-09,Buy More,54.46,26,7302.36,156.0
59,2020-03-12,Buy More,75.47,26,12118.12,215.0
60,2020-04-24,Sell,35.93,26,7724.95,215.0
61,2020-04-27,Buy,33.29,27,3329.0,100.0
62,2020-08-17,Sell,21.35,27,2135.0,100.0
63,2020-09-03,Buy,33.6,28,3326.4,99.0
64,2020-11-24,Sell,21.64,28,2142.36,99.0
65,2021-01-27,Buy,37.21,29,3311.69,89.0
66,2021-02-03,Sell,22.91,29,2038.99,89.0
